Airport ID;Name;City;Country;IATA/FAA;ICAO;Latitude;Longitude;Altitude;Timezone;DST;Tz database time zone
48;Dawson Creek;Dawson Creek;Canada;YDQ;CYDQ;55.742.333;-120.183;2148;-7;A;America/Dawson_Creek
49;Edmonton Intl;Edmonton;Canada;YEG;CYEG;53.309.723;-113.579.722;2373;-7;A;America/Edmonton
50;Arviat;Eskimo Point;Canada;YEK;CYEK;61.094.166;-94.070.833;32;-6;A;America/Winnipeg
51;Estevan;Estevan;Canada;YEN;CYEN;49.210.278;-102.965.833;1905;-6;N;America/Regina
52;Edson;Edson;Canada;YET;CYET;53.578.888;-116.465;3041;-7;A;America/Edmonton
53;Eureka;Eureka;Canada;YEU;CYEU;79.994.722;-85.814.167;256;-6;A;America/Winnipeg
54;Inuvik Mike Zubko;Inuvik;Canada;YEV;CYEV;68.304.167;-133.482.778;224;-7;A;America/Edmonton
55;Iqaluit;Iqaluit;Canada;YFB;CYFB;6.375.639;-68.555.832;110;-5;A;America/Toronto
56;Fredericton;Fredericton;Canada;YFC;CYFC;45.868.889;-66.537.222;68;-4;A;America/Halifax
57;Forestville;Forestville;Canada;;CYFE;48.746.111;-69.097.222;293;-5;A;America/Toronto
58;Flin Flon;Flin Flon;Canada;YFO;CYFO;54.678.055;-101.681.667;997;-6;A;America/Winnipeg
59;Fort Resolution;Fort Resolution;Canada;YFR;CYFR;61.180.832;-113.689.722;526;-7;A;America/Edmonton
60;Fort Simpson;Fort Simpson;Canada;YFS;CYFS;61.760.153;-121.236.525;555;-7;A;America/Edmonton
61;Kingston;Kingston;Canada;YGK;CYGK;44.225.277;-76.596.944;305;-5;A;America/Toronto
62;La Grande Riviere;La Grande Riviere;Canada;YGL;CYGL;53.625.278;-77.704.167;639;-5;A;America/Toronto
63;Gaspe;Gaspe;Canada;YGP;CYGP;48.775.278;-64.478.611;108;-5;A;America/Toronto
64;Geraldton Greenstone Regional;Geraldton;Canada;YGQ;CYGQ;49.778.332;-86.939.445;1144;-5;A;America/Toronto
65;Iles De La Madeleine;Iles De La Madeleine;Canada;YGR;CYGR;47.424.721;-61.778.056;35;-5;A;America/Toronto
66;Hudson Bay;Hudson Bay;Canada;YHB;CYHB;52.816.666;-10.231.139;1175;-6;N;America/Regina
67;Dryden Rgnl;Dryden;Canada;YHD;CYHD;49.831.667;-92.744.167;1354;-6;A;America/Winnipeg
68;Ulukhaktok Holman;Holman Island;Canada;YHI;CYHI;70.762.778;-117.806.111;117;-7;A;America/Edmonton
69;Gjoa Haven;Gjoa Haven;Canada;YHK;CYHK;68.635.556;-95.849.722;152;-7;A;America/Edmonton
70;Hamilton;Hamilton;Canada;YHM;CYHM;43.173.611;-79.935;780;-5;A;America/Toronto
71;St Hubert;Montreal;Canada;YHU;CYHU;455.175;-73.416.944;90;-5;A;America/Toronto
72;Hay River;Hay River;Canada;YHY;CYHY;60.839.722;-115.782.778;543;-7;A;America/Edmonton
73;Halifax Intl;Halifax;Canada;YHZ;CYHZ;44.880.833;-6.350.861;477;-4;A;America/Halifax
74;Atikokan Muni;Atikokan;Canada;YIB;CYIB;48.773.888;-91.638.611;1408;-5;A;America/Coral_Harbour
75;Pond Inlet;Pond Inlet;Canada;YIO;CYIO;72.683.334;-77.966.667;181;-5;A;America/Toronto
76;St Jean;St. Jean;Canada;YJN;CYJN;45.294.445;-73.281.111;136;-5;A;America/Toronto
77;Stephenville;Stephenville;Canada;YJT;CYJT;48.544.167;-58.549.999;80;-3.5;A;America/St_Johns
78;Kamloops;Kamloops;Canada;YKA;CYKA;50.702.222;-120.444.444;1133;-8;A;America/Vancouver
79;Waterloo;Waterloo;Canada;YKF;CYKF;43.460.833;-80.378.611;1054;-5;A;America/Toronto
80;Schefferville;Schefferville;Canada;YKL;CYKL;54.805.278;-66.805.278;1709;-5;A;America/Toronto
81;Kindersley;Kindersley;Canada;YKY;CYKY;515.175;-109.180.833;2277;-6;N;America/Regina
82;Buttonville Muni;Toronto;Canada;YKZ;CYKZ;43.862.221;-79.37;650;-5;A;America/Toronto
83;Chapleau;Chapleau;Canada;YLD;CYLD;47.82;-83.346.667;1470;-5;A;America/Toronto
84;Meadow Lake;Meadow Lake;Canada;YLJ;CYLJ;54.125.278;-108.522.778;1576;-6;N;America/Regina
85;Lloydminster;Lloydminster;Canada;YLL;CYLL;53.309.166;-1.100.725;2193;-7;A;America/Edmonton
86;Alert;Alert;Canada;YLT;CYLT;82.517.778;-62.280.556;100;-5;A;America/Toronto
87;Kelowna;Kelowna;Canada;YLW;CYLW;49.956.112;-119.377.778;1409;-8;A;America/Vancouver
88;Mayo;Mayo;Canada;YMA;CYMA;63.616.389;-135.868.333;1653;-8;A;America/Vancouver
89;Moose Jaw Air Vice Marshal C M Mcewen;Moose Jaw;Canada;YMJ;CYMJ;50.330.278;-105.559.167;1892;-6;N;America/Regina
90;Fort Mcmurray;Fort Mcmurray;Canada;YMM;CYMM;56.653.333;-111.221.944;1211;-7;A;America/Edmonton
91;Moosonee;Moosonee;Canada;YMO;CYMO;51.291.111;-80.607.778;30;-5;A;America/Toronto
92;Maniwaki;Maniwaki;Canada;YMW;CYMW;46.272.778;-75.990.556;656;-5;A;America/Toronto
93;Montreal Intl Mirabel;Montreal;Canada;YMX;CYMX;45.681.944;-74.005.278;270;-5;A;America/Toronto
94;Natashquan;Natashquan;Canada;YNA;CYNA;50.19;-61.789.167;39;-5;A;America/Toronto
95;Gatineau;Gatineau;Canada;YND;CYND;45.521.694;-75.563.589;211;-5;A;America/Toronto
96;Matagami;Matagami;Canada;YNM;CYNM;49.761.667;-77.802.778;918;-5;A;America/Toronto
97;Old Crow;Old Crow;Canada;YOC;CYOC;67.570.556;-139.839.167;824;-8;A;America/Vancouver
98;Cold Lake;Cold Lake;Canada;YOD;CYOD;54.404.999;-110.279.444;1775;-7;A;America/Edmonton
99;High Level;High Level;Canada;YOJ;CYOJ;58.621.389;-117.164.722;1110;-7;A;America/Edmonton
100;Ottawa Macdonald Cartier Intl;Ottawa;Canada;YOW;CYOW;453.225;-75.669.167;374;-5;A;America/Toronto
101;Prince Albert Glass Field;Prince Albert;Canada;YPA;CYPA;53.214.167;-105.672.778;1405;-6;N;America/Regina
102;Peace River;Peace River;Canada;YPE;CYPE;56.226.944;-117.447.222;1873;-7;A;America/Edmonton
103;Southport;Portage-la-prairie;Canada;YPG;CYPG;49.903.056;-98.273.889;885;-6;A;America/Winnipeg
104;Pitt Meadows;Pitt Meadows;Canada;;CYPK;4.921.611;-122.71;11;-8;A;America/Vancouver
105;Pickle Lake;Pickle Lake;Canada;YPL;CYPL;51.446.388;-90.214.167;1267;-5;A;America/Coral_Harbour
106;Port Menier;Port Menier;Canada;YPN;CYPN;49.836.389;-64.288.611;167;-5;A;America/Toronto
107;Peterborough;Peterborough;Canada;YPQ;CYPQ;44.23;-78.363.333;628;-5;A;America/Toronto
108;Prince Rupert;Prince Pupert;Canada;YPR;CYPR;5.428.611;-130.444.722;116;-8;A;America/Vancouver
109;Fort Chipewyan;Fort Chipewyan;Canada;YPY;CYPY;58.767.223;-111.117.222;761;-7;A;America/Edmonton
110;Muskoka;Muskoka;Canada;YQA;CYQA;44.974.722;-79.303.333;925;-5;A;America/Toronto
111;Quebec Jean Lesage Intl;Quebec;Canada;YQB;CYQB;46.791.111;-71.393.333;244;-5;A;America/Toronto
112;Red Deer Regional;Red Deer Industrial;Canada;YQF;CYQF;52.182.222;-113.894.444;2968;-7;A;America/Edmonton
113;Windsor;Windsor;Canada;YQG;CYQG;42.275.556;-82.955.556;622;-5;A;America/Toronto
114;Watson Lake;Watson Lake;Canada;YQH;CYQH;60.116.389;-1.288.225;2255;-8;A;America/Vancouver
115;Kenora;Kenora;Canada;YQK;CYQK;49.788.334;-94.363.056;1332;-6;A;America/Winnipeg
116;Lethbridge;Lethbridge;Canada;YQL;CYQL;49.630.278;-112.799.722;3047;-7;A;America/Edmonton
117;Greater Moncton Intl;Moncton;Canada;YQM;CYQM;46.112.221;-64.678.611;232;-4;A;America/Halifax
119;Comox;Comox;Canada;YQQ;CYQQ;49.710.833;-124.886.667;84;-8;A;America/Vancouver
120;Regina Intl;Regina;Canada;YQR;CYQR;50.431.944;-104.665.833;1894;-6;N;America/Regina
121;Thunder Bay;Thunder Bay;Canada;YQT;CYQT;48.371.944;-89.323.889;653;-5;A;America/Toronto
122;Grande Prairie;Grande Prairie;Canada;YQU;CYQU;55.179.722;-118.885;2195;-7;A;America/Edmonton
123;Yorkton Muni;Yorkton;Canada;YQV;CYQV;51.264.721;-102.461.667;1635;-6;N;America/Regina
124;North Battleford;North Battleford;Canada;YQW;CYQW;52.769.167;-10.824.361;1799;-6;N;America/Regina
125;Gander Intl;Gander;Canada;YQX;CYQX;48.936.944;-54.568.056;496;-3.5;A;America/St_Johns
126;Sydney;Sydney;Canada;YQY;CYQY;46.161.388;-60.047.779;203;-4;A;America/Halifax
127;Quesnel;Quesnel;Canada;YQZ;CYQZ;53.026.112;-122.510.278;1789;-8;A;America/Vancouver
128;Resolute Bay;Resolute;Canada;YRB;CYRB;74.716.944;-94.969.444;215;-6;A;America/Winnipeg
129;Riviere Du Loup;Riviere Du Loup;Canada;YRI;CYRI;47.764.444;-69.584.722;427;-5;A;America/Toronto
130;Roberval;Roberval;Canada;YRJ;CYRJ;48.52;-72.265.556;586;-5;A;America/Toronto
131;Rocky Mountain House;Rocky Mountain House;Canada;YRM;CYRM;52.429.722;-114.904.167;3244;-7;A;America/Edmonton
132;Rankin Inlet;Rankin Inlet;Canada;YRT;CYRT;6.281.139;-92.115.833;94;-6;A;America/Winnipeg
133;Sudbury;Sudbury;Canada;YSB;CYSB;46.625;-80.798.889;1141;-5;A;America/Toronto
134;Sherbrooke;Sherbrooke;Canada;YSC;CYSC;45.438.611;-71.691.389;792;-5;A;America/Toronto
135;Saint John;St. John;Canada;YSJ;CYSJ;45.316.111;-65.890.278;357;-4;A;America/Halifax
136;Fort Smith;Fort Smith;Canada;YSM;CYSM;60.020.278;-111.961.944;671;-7;A;America/Edmonton
137;Nanisivik;Nanisivik;Canada;YSR;CYSR;72.982.222;-84.613.611;2106;-5;A;America/Toronto
138;Summerside;Summerside;Canada;YSU;CYSU;46.440.556;-63.833.611;56;-4;A;America/Halifax
139;Sachs Harbour;Sachs Harbour;Canada;YSY;CYSY;71.993.889;-1.252.425;282;-7;A;America/Edmonton
140;Cape Dorset;Cape Dorset;Canada;YTE;CYTE;64.23;-76.526.667;164;-5;A;America/Toronto
141;Thompson;Thompson;Canada;YTH;CYTH;55.801.111;-97.864.166;729;-6;A;America/Winnipeg
142;Trenton;Trenton;Canada;YTR;CYTR;44.118.889;-77.528.056;283;-5;A;America/Toronto
143;Timmins;Timmins;Canada;YTS;CYTS;48.569.721;-81.376.667;967;-5;A;America/Toronto
144;City Centre;Toronto;Canada;YTZ;CYTZ;43.627.499;-79.396.167;251;-5;A;America/Toronto
145;Tuktoyaktuk;Tuktoyaktuk;Canada;YUB;CYUB;69.433.334;-133.026.389;15;-7;A;America/Edmonton
146;Pierre Elliott Trudeau Intl;Montreal;Canada;YUL;CYUL;45.470.556;-73.740.833;118;-5;A;America/Toronto
147;Repulse Bay;Repulse Bay;Canada;YUT;CYUT;66.521.389;-86.224.722;80;-6;A;America/Winnipeg
148;Hall Beach;Hall Beach;Canada;YUX;CYUX;68.776.111;-81.243.611;27;-5;A;America/Toronto
149;Rouyn Noranda;Rouyn;Canada;YUY;CYUY;48.206.111;-78.835.556;988;-5;A;America/Toronto
150;La Ronge;La Ronge;Canada;YVC;CYVC;5.515.139;-105.261.944;1242;-6;N;America/Regina
151;Vermilion;Vermillion;Canada;YVG;CYVG;53.355.833;-11.082.389;2025;-7;A;America/Edmonton
152;Qikiqtarjuaq;Broughton Island;Canada;YVM;CYVM;67.545.833;-64.031.389;21;-5;A;America/Toronto
153;Val D Or;Val D'or;Canada;YVO;CYVO;48.053.333;-77.782.778;1107;-5;A;America/Toronto
154;Kuujjuaq;Quujjuaq;Canada;YVP;CYVP;58.096.111;-68.426.944;129;-5;A;America/Toronto
155;Norman Wells;Norman Wells;Canada;YVQ;CYVQ;65.281.617;-126.798.219;238;-7;A;America/Edmonton
156;Vancouver Intl;Vancouver;Canada;YVR;CYVR;49.193.889;-123.184.444;14;-8;A;America/Vancouver
157;Buffalo Narrows;Buffalo Narrows;Canada;YVT;CYVT;55.841.944;-1.084.175;1444;-6;N;America/Regina
158;Wiarton;Wiarton;Canada;YVV;CYVV;44.745.834;-81.107.222;729;-5;A;America/Toronto
159;Petawawa;Petawawa;Canada;YWA;CYWA;45.952.221;-77.319.168;427;-5;A;America/Toronto
160;Winnipeg Intl;Winnipeg;Canada;YWG;CYWG;49.910.036;-97.239.886;783;-6;A;America/Winnipeg
161;Wabush;Wabush;Canada;YWK;CYWK;52.921.944;-66.864.444;1808;-4;A;America/Halifax
162;Williams Lake;Williams Lake;Canada;YWL;CYWL;52.183.056;-122.054.167;3085;-8;A;America/Vancouver
163;Wrigley;Wrigley;Canada;YWY;CYWY;63.209.444;-123.436.667;489;-7;A;America/Edmonton
164;Canadian Rockies Intl;Cranbrook;Canada;YXC;CYXC;49.612.222;-115.781.944;3084;-7;A;America/Edmonton
165;Edmonton City Centre;Edmonton;Canada;YXD;CYXD;535.725;-113.520.556;2200;-7;A;America/Edmonton
166;Saskatoon J G Diefenbaker Intl;Saskatoon;Canada;YXE;CYXE;52.170.834;-106.699.722;1653;-6;N;America/Regina
167;Medicine Hat;Medicine Hat;Canada;YXH;CYXH;5.001.889;-110.720.833;2352;-7;A;America/Edmonton
168;Fort St John;Fort Saint John;Canada;YXJ;CYXJ;56.238.056;-120.740.278;2280;-7;A;America/Dawson_Creek
169;Sioux Lookout;Sioux Lookout;Canada;YXL;CYXL;50.113.889;-91.905.278;1258;-6;A;America/Winnipeg
170;Pangnirtung;Pangnirtung;Canada;YXP;CYXP;66.145;-65.713.611;75;-5;A;America/Toronto
171;Timiskaming Rgnl;Earlton;Canada;YXR;CYXR;47.695;-79.848.889;798;-5;A;America/Toronto
172;Prince George;Prince George;Canada;YXS;CYXS;53.889.444;-122.678.889;2267;-8;A;America/Vancouver
173;Terrace;Terrace;Canada;YXT;CYXT;54.468.508;-128.576.219;713;-8;A;America/Vancouver
174;London;London;Canada;YXU;CYXU;43.033.056;-81.151.111;912;-5;A;America/Toronto
175;Abbotsford;Abbotsford;Canada;YXX;CYXX;49.025.278;-122.360.556;195;-8;A;America/Vancouver
176;Whitehorse Intl;Whitehorse;Canada;YXY;CYXY;60.709.553;-135.067.269;2317;-8;A;America/Vancouver
177;North Bay;North Bay;Canada;YYB;CYYB;46.363.611;-79.422.778;1215;-5;A;America/Toronto
178;Calgary Intl;Calgary;Canada;YYC;CYYC;51.113.888;-114.020.278;3557;-7;A;America/Edmonton
179;Smithers;Smithers;Canada;YYD;CYYD;54.824.722;-127.182.778;1712;-8;A;America/Vancouver
180;Fort Nelson;Fort Nelson;Canada;YYE;CYYE;58.836.389;-122.596.944;1253;-8;A;America/Vancouver
181;Penticton;Penticton;Canada;YYF;CYYF;49.463.056;-119.602.222;1129;-8;A;America/Vancouver
182;Charlottetown;Charlottetown;Canada;YYG;CYYG;46.290.001;-63.121.111;160;-4;A;America/Halifax
183;Taloyoak;Spence Bay;Canada;YYH;CYYH;69.546.667;-93.576.667;92;-7;A;America/Edmonton
184;Victoria Intl;Victoria;Canada;YYJ;CYYJ;48.646.944;-123.425.833;63;-8;A;America/Vancouver
185;Lynn Lake;Lynn Lake;Canada;YYL;CYYL;56.863.888;-10.107.611;1170;-6;A;America/Winnipeg
186;Swift Current;Swift Current;Canada;YYN;CYYN;50.291.944;-107.690.556;2680;-6;N;America/Regina
187;Churchill;Churchill;Canada;YYQ;CYYQ;58.739.167;-94.065;94;-6;A;America/Winnipeg
188;Goose Bay;Goose Bay;Canada;YYR;CYYR;53.319.168;-60.425.833;160;-4;A;America/Halifax
189;St Johns Intl;St. John's;Canada;YYT;CYYT;4.761.861;-52.751.945;461;-3.5;A;America/St_Johns
190;Kapuskasing;Kapuskasing;Canada;YYU;CYYU;49.413.889;-824.675;743;-5;A;America/Toronto
191;Armstrong;Armstrong;Canada;YYW;CYYW;50.290.279;-88.909.721;1058;-5;A;America/Toronto
192;Mont Joli;Mont Joli;Canada;YYY;CYYY;48.608.612;-68.208.056;172;-5;A;America/Toronto
193;Lester B Pearson Intl;Toronto;Canada;YYZ;CYYZ;43.677.223;-79.630.556;569;-5;A;America/Toronto
194;Downsview;Toronto;Canada;YZD;CYZD;437.425;-79.465.556;652;-5;A;America/Toronto
195;Gore Bay Manitoulin;Gore Bay;Canada;YZE;CYZE;45.885.277;-82.567.778;635;-5;A;America/Toronto
196;Yellowknife;Yellowknife;Canada;YZF;CYZF;62.462.778;-114.440.278;675;-7;A;America/Edmonton
197;Slave Lake;Slave Lake;Canada;YZH;CYZH;55.293.056;-114.777.222;1912;-7;A;America/Edmonton
198;Sandspit;Sandspit;Canada;YZP;CYZP;53.254.333;-131.813.833;21;-8;A;America/Vancouver
199;Chris Hadfield;Sarnia;Canada;YZR;CYZR;42.999.444;-82.308.889;594;-5;A;America/Toronto
200;Port Hardy;Port Hardy;Canada;YZT;CYZT;50.680.556;-127.366.667;71;-8;A;America/Vancouver
201;Whitecourt;Whitecourt;Canada;YZU;CYZU;5.414.389;-115.786.667;2567;-7;A;America/Edmonton
202;Sept Iles;Sept-iles;Canada;YZV;CYZV;50.223.333;-66.265.556;180;-5;A;America/Toronto
203;Teslin;Teslin;Canada;YZW;CYZW;60.172.779;-132.742.778;2313;-8;A;America/Vancouver
204;Greenwood;Greenwood;Canada;YZX;CYZX;44.984.444;-64.916.944;92;-4;A;America/Halifax
205;Faro;Faro;Canada;ZFA;CZFA;622.075;-133.375.833;2351;-8;A;America/Vancouver
206;Fort Mcpherson;Fort Mcpherson;Canada;ZFM;CZFM;674.075;-134.860.556;116;-7;A;America/Edmonton
6863;RK Heliplex;Panorama;Canada;;\N;502.735;-116.14;358;-7;A;America/Edmonton
4094;Ekati;Ekati;Canada;YOA;CYOA;64.698.889;-110.614.722;1540;-7;A;America/Edmonton
4106;Victoria Inner Harbour Airport;Victoria;Canada;YWH;CYWH;48.422.778;-1.233.875;0;-8;A;America/Vancouver
4107;Vancouver Coal Harbour;Vancouver;Canada;CXH;CAQ3;49.289.722;-123.115.833;0;-8;A;America/Vancouver
4236;Aklavik;Aklavik;Canada;LAK;CYKD;68.223.333;-135.005.833;23;-7;A;America/Edmonton
4237;Deline;Deline;Canada;YWJ;CYWJ;651.833.333;-12.541.666.667;550;-7;A;America/Edmonton
4238;Tulita;Tulita;Canada;ZFN;CZFN;640.833.333;-1.255.833.333;320;-7;A;America/Edmonton
4239;Fort Good Hope;Fort Good Hope;Canada;YGH;CYGH;6.626.666.667;-128.65;215;-7;A;America/Edmonton
4240;Inuvik Town;Inuvik;Canada;;\N;663.676;-1.337.594;200;-7;A;America/Edmonton
4241;INAWR;Inuvik;Canada;;\N;683.676;-1.337.594;200;-7;A;America/Edmonton
4244;Paulatuk;Paulatuk;Canada;YPC;CYPC;62.35;-1.243.333;50;-7;A;America/Edmonton
4246;Nicholson Peninsula;Nicholson Peninsula;Canada;;YUCX;69.917;-128.95;1;-7;A;America/Edmonton
5551;Wollaston Lake Airport;Wollaston Lake;Canada;ZWL;CZWL;581.069;-103.172;1360;-6;N;America/Regina
5550;Churchill Falls Airport;Churchill Falls;Canada;ZUM;CZUM;535.619;-641.064;1442;-4;A;America/Halifax
5549;Shamattawa Airport;Shamattawa;Canada;ZTM;CZTM;558.656;-920.814;289;-6;A;America/Winnipeg
5548;Sandy Lake Airport;Sandy Lake;Canada;ZSJ;CZSJ;530.642;-933.444;951;-6;A;America/Winnipeg
5547;Round Lake (Weagamow Lake) Airport;Round Lake;Canada;ZRJ;CZRJ;529.436;-913.128;974;-6;A;America/Winnipeg
5546;Sachigo Lake Airport;Sachigo Lake;Canada;ZPB;CZPB;538.911;-921.964;876;-6;A;America/Winnipeg
5545;Masset Airport;Masset;Canada;ZMT;CZMT;540.275;-132.125;25;-8;A;America/Vancouver
5544;Muskrat Dam Airport;Muskrat Dam;Canada;MSA;CZMD;534.414;-917.628;911;-6;A;America/Winnipeg
5543;Kashechewan Airport;Kashechewan;Canada;ZKE;CZKE;522.825;-816.778;35;-5;A;America/Toronto
5542;Swan River Airport;Swan River;Canada;ZJN;CZJN;521.206;-101.236;1100;-6;A;America/Winnipeg
5541;Gods River Airport;Gods River;Canada;ZGI;CZGI;548.397;-940.786;627;-6;A;America/Winnipeg
5540;Fond-Du-Lac Airport;Fond-Du-Lac;Canada;ZFD;CZFD;593.344;-107.182;814;-6;N;America/Regina
5539;Eastmain River Airport;Eastmain River;Canada;ZEM;CZEM;522.264;-785.225;24;-5;A;America/Toronto
5538;Bathurst Airport;Bathurst;Canada;ZBF;CZBF;476.297;-657.389;193;-4;A;America/Halifax
5537;Ilford Airport;Ilford;Canada;ILF;CZBD;560.614;-956.139;642;-6;A;America/Winnipeg
5536;York Landing Airport;York Landing;Canada;ZAC;CZAC;560.894;-960.892;621;-6;A;America/Winnipeg
5535;Salluit Airport;Salluit;Canada;YZG;CYZG;621.794;-756.672;743;-5;A;America/Toronto
5534;Whale Cove Airport;Whale Cove;Canada;YXN;CYXN;62.24;-925.981;40;-6;A;America/Winnipeg
5533;Webequie Airport;Webequie;Canada;YWP;CYWP;529.597;-873.689;685;-5;A;America/Toronto
5532;Deer Lake Airport;Deer Lake;Canada;YVZ;CYVZ;526.558;-940.614;1092;-6;A;America/Winnipeg
5531;Big Trout Lake Airport;Big Trout Lake;Canada;YTL;CYTL;538.178;-898.969;729;-6;A;America/Winnipeg
5530;St. Theresa Point Airport;St. Theresa Point;Canada;YST;CYST;538.456;-948.519;773;-6;A;America/Winnipeg
5529;Sanikiluaq Airport;Sanikiluaq;Canada;YSK;CYSK;565.378;-792.467;104;-5;A;\N
5528;Stony Rapids Airport;Stony Rapids;Canada;YSF;CYSF;592.503;-105.841;805;-6;N;America/Regina
5527;Red Lake Airport;Red Lake;Canada;YRL;CYRL;510.669;-937.931;1265;-6;A;America/Winnipeg
5526;Rae Lakes Airport;Gamätç;Canada;YRA;CYRA;641.161;-117.31;723;-7;A;America/Edmonton
5525;Nakina Airport;Nakina;Canada;YQN;CYQN;50.182.777;-86.696.388;1057;-5;A;America/Toronto
5524;The Pas Airport;The Pas;Canada;YQD;CYQD;539.714;-101.091;887;-6;A;America/Winnipeg
5523;Powell River Airport;Powell River;Canada;YPW;CYPW;498.342;-124.5;425;-8;A;America/Vancouver
5522;Peawanuck Airport;Peawanuck;Canada;YPO;CYPO;549.881;-854.433;173;-5;A;America/Toronto
5521;Pikangikum Airport;Pikangikum;Canada;YPM;CYPM;518.197;-939.733;1114;-6;A;America/Winnipeg
5520;Inukjuak Airport;Inukjuak;Canada;YPH;CYPH;584.719;-780.769;83;-5;A;America/Toronto
5519;Oxford House Airport;Oxford House;Canada;YOH;CYOH;549.333;-952.789;663;-6;A;America/Winnipeg
5518;Points North Landing Airport;Points North Landing;Canada;YNL;CYNL;582.767;-104.082;1605;-6;N;America/Regina
5517;Norway House Airport;Norway House;Canada;YNE;CYNE;539.583;-978.442;734;-6;A;America/Winnipeg
5516;Wemindji Airport;Wemindji;Canada;YNC;CYNC;530.106;-788.311;66;-5;A;America/Toronto
5515;Umiujaq Airport;Umiujaq;Canada;YUD;CYMU;565.361;-765.183;250;-5;A;America/Toronto
5514;Chapais Airport;Chibougamau;Canada;YMT;CYMT;497.719;-745.281;1270;-5;A;America/Toronto
5513;Mary's Harbour Airport;Mary's Harbour;Canada;YMH;CYMH;523.028;-558.472;38;-3.5;A;America/St_Johns
5512;Kangiqsualujjuaq (Georges River) Airport;Kangiqsualujjuaq;Canada;XGR;CYLU;587.114;-659.928;215;-5;A;America/Toronto
5511;Lutselk'e Airport;Lutselk'e;Canada;YSG;CYLK;624.183;-110.682;596;-7;A;America/Edmonton
5510;Lansdowne House Airport;Lansdowne House;Canada;YLH;CYLH;521.956;-879.342;834;-5;A;America/Toronto
5509;Kimmirut Airport;Kimmirut;Canada;YLC;CYLC;62.85;-698.833;175;-5;A;America/Toronto
5508;Aupaluk Airport;Aupaluk;Canada;YPJ;CYLA;592.967;-695.997;119;-5;A;America/Toronto
5507;Waskaganish Airport;Waskaganish;Canada;YKQ;CYKQ;514.733;-787.583;80;-5;A;America/Toronto
5506;Akulivik Airport;Akulivik;Canada;AKV;CYKO;608.186;-781.486;75;-5;A;America/Toronto
