origen,destino,costo,FECHA HORA salida,Fecha hora llegada
YAM,YYZ,524,01/10/2016 11:04:00,02/10/2016 01:28:00
YAM,YYZ,681,02/10/2016 00:32:00,02/10/2016 05:20:00
YAM,YYZ,595,02/10/2016 07:18:00,03/10/2016 00:06:00
YAM,YYZ,589,03/10/2016 01:12:00,03/10/2016 15:36:00
YAM,YYZ,807,03/10/2016 07:36:00,03/10/2016 17:12:00
YAM,YYZ,316,03/10/2016 10:12:00,03/10/2016 15:00:00
YAM,YYZ,785,03/10/2016 12:26:00,04/10/2016 07:38:00
YAM,YYZ,413,03/10/2016 15:20:00,03/10/2016 20:08:00
YAM,YYZ,463,03/10/2016 19:22:00,04/10/2016 02:34:00
YAM,YYZ,286,04/10/2016 18:41:00,04/10/2016 21:05:00
YAY,YYR,373,01/10/2016 03:40:00,01/10/2016 18:04:00
YAY,YYR,989,01/10/2016 11:40:00,01/10/2016 21:16:00
YAY,YYR,989,01/10/2016 13:06:00,01/10/2016 20:18:00
YAY,YYR,972,01/10/2016 21:28:00,02/10/2016 07:04:00
YAY,YYR,410,01/10/2016 23:28:00,02/10/2016 13:52:00
YAY,YYR,298,02/10/2016 02:41:00,02/10/2016 12:17:00
YAY,YYR,603,02/10/2016 03:22:00,02/10/2016 20:10:00
YAY,YYR,625,02/10/2016 10:00:00,03/10/2016 00:24:00
YAY,YYR,545,02/10/2016 18:58:00,03/10/2016 04:34:00
YAY,YYR,421,04/10/2016 09:58:00,04/10/2016 12:22:00
YAY,YYR,553,04/10/2016 10:38:00,04/10/2016 17:50:00
YAY,YYT,631,01/10/2016 05:33:00,01/10/2016 07:57:00
YAY,YYT,792,01/10/2016 15:07:00,02/10/2016 10:19:00
YAY,YYT,813,01/10/2016 16:11:00,02/10/2016 06:35:00
YAY,YYT,646,01/10/2016 19:42:00,02/10/2016 14:54:00
YAY,YYT,778,01/10/2016 23:02:00,02/10/2016 06:14:00
YAY,YYT,694,02/10/2016 14:30:00,02/10/2016 21:42:00
YAY,YYT,725,02/10/2016 19:23:00,03/10/2016 12:11:00
YAY,YYT,762,02/10/2016 21:09:00,02/10/2016 23:33:00
YAY,YYT,599,02/10/2016 23:20:00,03/10/2016 04:08:00
YAY,YYT,145,04/10/2016 02:44:00,04/10/2016 12:20:00
YAY,YYT,950,04/10/2016 16:09:00,05/10/2016 11:21:00
YBC,YQB,490,01/10/2016 02:11:00,01/10/2016 21:23:00
YBC,YQB,836,01/10/2016 05:44:00,01/10/2016 08:08:00
YBC,YQB,923,01/10/2016 10:56:00,02/10/2016 03:44:00
YBC,YQB,844,01/10/2016 11:06:00,01/10/2016 18:18:00
YBC,YQB,749,01/10/2016 11:34:00,01/10/2016 21:10:00
YBC,YQB,343,01/10/2016 14:46:00,01/10/2016 21:58:00
YBC,YQB,944,01/10/2016 18:54:00,01/10/2016 21:18:00
YBC,YQB,797,01/10/2016 20:36:00,02/10/2016 08:36:00
YBC,YQB,328,02/10/2016 01:46:00,02/10/2016 13:46:00
YBC,YQB,951,02/10/2016 07:51:00,02/10/2016 15:03:00
YBC,YQB,753,03/10/2016 02:26:00,03/10/2016 12:02:00
YBC,YQB,292,03/10/2016 08:55:00,03/10/2016 20:55:00
YBC,YQB,574,03/10/2016 17:08:00,04/10/2016 02:44:00
YBC,YQB,913,03/10/2016 18:01:00,04/10/2016 01:13:00
YBC,YQB,368,03/10/2016 18:43:00,03/10/2016 23:31:00
YBC,YQB,639,03/10/2016 20:09:00,04/10/2016 00:57:00
YBC,YQB,565,04/10/2016 00:58:00,04/10/2016 05:46:00
YBC,YQB,831,04/10/2016 03:26:00,04/10/2016 08:14:00
YBC,YQB,865,04/10/2016 05:00:00,05/10/2016 00:12:00
YBC,YQB,230,04/10/2016 11:30:00,04/10/2016 13:54:00
YBC,YQB,446,04/10/2016 16:46:00,05/10/2016 02:22:00
YBC,YQB,406,04/10/2016 17:57:00,05/10/2016 10:45:00
YBC,YUL,273,01/10/2016 00:32:00,01/10/2016 12:32:00
YBC,YUL,478,01/10/2016 12:15:00,01/10/2016 21:51:00
YBC,YUL,398,01/10/2016 13:34:00,02/10/2016 08:46:00
YBC,YUL,193,01/10/2016 21:29:00,02/10/2016 11:53:00
YBC,YUL,970,01/10/2016 22:26:00,02/10/2016 05:38:00
YBC,YUL,593,02/10/2016 00:01:00,02/10/2016 04:49:00
YBC,YUL,404,02/10/2016 16:53:00,03/10/2016 12:05:00
YBC,YUL,438,02/10/2016 17:25:00,03/10/2016 10:13:00
YBC,YUL,950,03/10/2016 16:29:00,04/10/2016 02:05:00
YBC,YUL,443,03/10/2016 23:58:00,04/10/2016 07:10:00
YBC,YUL,796,04/10/2016 18:57:00,05/10/2016 06:57:00
YBC,YWK,115,01/10/2016 01:37:00,01/10/2016 08:49:00
YBC,YWK,407,01/10/2016 06:33:00,01/10/2016 23:21:00
YBC,YWK,972,02/10/2016 04:31:00,02/10/2016 11:43:00
YBC,YWK,984,02/10/2016 14:24:00,03/10/2016 02:24:00
YBC,YWK,607,02/10/2016 23:13:00,03/10/2016 04:01:00
YBC,YWK,193,02/10/2016 23:23:00,03/10/2016 16:11:00
YBC,YWK,220,03/10/2016 13:40:00,03/10/2016 20:52:00
YBC,YWK,179,03/10/2016 22:06:00,04/10/2016 05:18:00
YBC,YWK,398,04/10/2016 09:55:00,04/10/2016 19:31:00
YBC,YWK,747,04/10/2016 18:10:00,05/10/2016 10:58:00
YBC,YWK,604,04/10/2016 23:57:00,05/10/2016 14:21:00
YBC,YYY,588,01/10/2016 02:50:00,01/10/2016 05:14:00
YBC,YYY,482,01/10/2016 11:52:00,01/10/2016 21:28:00
YBC,YYY,778,02/10/2016 00:03:00,02/10/2016 12:03:00
YBC,YYY,381,02/10/2016 04:19:00,02/10/2016 23:31:00
YBC,YYY,329,02/10/2016 15:21:00,02/10/2016 17:45:00
YBC,YYY,429,02/10/2016 18:31:00,02/10/2016 20:55:00
YBC,YYY,771,03/10/2016 02:43:00,03/10/2016 07:31:00
YBC,YYY,682,03/10/2016 07:05:00,03/10/2016 23:53:00
YBC,YYY,865,03/10/2016 07:20:00,04/10/2016 02:32:00
YBC,YYY,448,03/10/2016 11:06:00,04/10/2016 01:30:00
YBC,YYY,698,03/10/2016 11:32:00,03/10/2016 13:56:00
YBC,YYY,735,03/10/2016 22:31:00,04/10/2016 17:43:00
YBC,YYY,909,03/10/2016 23:21:00,04/10/2016 11:21:00
YBC,YYY,731,04/10/2016 01:03:00,04/10/2016 15:27:00
YBC,YYY,950,04/10/2016 03:10:00,04/10/2016 17:34:00
YBC,YYY,233,04/10/2016 04:30:00,04/10/2016 14:06:00
YBC,YYY,886,04/10/2016 11:34:00,05/10/2016 06:46:00
YBC,YYY,400,04/10/2016 12:48:00,05/10/2016 05:36:00
YBC,YYY,185,04/10/2016 14:17:00,04/10/2016 23:53:00
YBC,YYY,964,04/10/2016 17:56:00,05/10/2016 03:32:00
YBC,YYY,350,04/10/2016 21:03:00,05/10/2016 11:27:00
YBC,YYY,336,04/10/2016 23:51:00,05/10/2016 16:39:00
YBG,YHU,341,01/10/2016 05:20:00,01/10/2016 14:56:00
YBG,YHU,178,01/10/2016 06:39:00,01/10/2016 13:51:00
YBG,YHU,176,02/10/2016 03:04:00,02/10/2016 07:52:00
YBG,YHU,341,02/10/2016 05:48:00,02/10/2016 08:12:00
YBG,YHU,588,02/10/2016 19:21:00,03/10/2016 04:57:00
YBG,YHU,560,03/10/2016 01:28:00,03/10/2016 15:52:00
YBG,YHU,106,03/10/2016 02:20:00,03/10/2016 04:44:00
YBG,YHU,982,03/10/2016 03:24:00,03/10/2016 20:12:00
YBG,YHU,664,03/10/2016 13:50:00,03/10/2016 18:38:00
YBG,YHU,237,04/10/2016 05:04:00,04/10/2016 12:16:00
YBG,YHU,930,04/10/2016 09:56:00,04/10/2016 14:44:00
YBG,YQB,242,01/10/2016 00:29:00,01/10/2016 17:17:00
YBG,YQB,628,01/10/2016 06:03:00,01/10/2016 10:51:00
YBG,YQB,909,01/10/2016 23:31:00,02/10/2016 09:07:00
YBG,YQB,684,02/10/2016 07:32:00,03/10/2016 00:20:00
YBG,YQB,818,02/10/2016 08:55:00,03/10/2016 04:07:00
YBG,YQB,355,02/10/2016 09:42:00,02/10/2016 21:42:00
YBG,YQB,115,04/10/2016 08:24:00,05/10/2016 03:36:00
YBG,YQB,518,04/10/2016 08:29:00,04/10/2016 10:53:00
YBG,YQB,455,04/10/2016 11:14:00,04/10/2016 13:38:00
YBG,YQB,665,04/10/2016 16:36:00,04/10/2016 23:48:00
YBG,YQB,180,04/10/2016 17:10:00,05/10/2016 12:22:00
YBG,YUL,870,01/10/2016 00:43:00,01/10/2016 10:19:00
YBG,YUL,375,01/10/2016 05:48:00,02/10/2016 01:00:00
YBG,YUL,730,01/10/2016 22:20:00,02/10/2016 12:44:00
YBG,YUL,279,02/10/2016 00:38:00,02/10/2016 10:14:00
YBG,YUL,971,02/10/2016 03:31:00,02/10/2016 15:31:00
YBG,YUL,591,02/10/2016 16:47:00,02/10/2016 23:59:00
YBG,YUL,807,03/10/2016 02:45:00,03/10/2016 17:09:00
YBG,YUL,468,03/10/2016 17:29:00,03/10/2016 22:17:00
YBG,YUL,118,03/10/2016 22:07:00,04/10/2016 02:55:00
YBG,YUL,935,04/10/2016 02:40:00,04/10/2016 05:04:00
YBG,YUL,620,04/10/2016 14:54:00,05/10/2016 07:42:00
YBG,YZV,487,01/10/2016 10:57:00,01/10/2016 22:57:00
YBG,YZV,638,01/10/2016 13:42:00,01/10/2016 20:54:00
YBG,YZV,706,01/10/2016 18:09:00,01/10/2016 22:57:00
YBG,YZV,654,01/10/2016 19:26:00,02/10/2016 14:38:00
YBG,YZV,226,02/10/2016 08:30:00,03/10/2016 03:42:00
YBG,YZV,741,03/10/2016 20:30:00,03/10/2016 22:54:00
YBG,YZV,604,03/10/2016 20:56:00,04/10/2016 08:56:00
YBG,YZV,355,03/10/2016 21:40:00,04/10/2016 16:52:00
YBG,YZV,381,03/10/2016 23:38:00,04/10/2016 09:14:00
YBG,YZV,179,04/10/2016 11:29:00,04/10/2016 13:53:00
YBG,YZV,365,04/10/2016 18:57:00,05/10/2016 02:09:00
YBK,YRT,449,01/10/2016 06:26:00,01/10/2016 11:14:00
YBK,YRT,364,01/10/2016 16:15:00,01/10/2016 18:39:00
YBK,YRT,917,01/10/2016 20:51:00,02/10/2016 13:39:00
YBK,YRT,163,02/10/2016 02:29:00,02/10/2016 14:29:00
YBK,YRT,642,02/10/2016 03:34:00,02/10/2016 10:46:00
YBK,YRT,318,02/10/2016 15:58:00,02/10/2016 23:10:00
YBK,YRT,121,02/10/2016 23:18:00,03/10/2016 01:42:00
YBK,YRT,689,03/10/2016 00:48:00,03/10/2016 08:00:00
YBK,YRT,809,03/10/2016 00:49:00,03/10/2016 15:13:00
YBK,YRT,506,03/10/2016 02:45:00,03/10/2016 19:33:00
YBK,YRT,402,03/10/2016 04:30:00,03/10/2016 18:54:00
YBK,YRT,811,03/10/2016 10:19:00,04/10/2016 00:43:00
YBK,YRT,964,03/10/2016 15:39:00,04/10/2016 01:15:00
YBK,YRT,641,03/10/2016 20:47:00,03/10/2016 23:11:00
YBK,YRT,622,04/10/2016 02:05:00,04/10/2016 21:17:00
YBK,YRT,942,04/10/2016 04:35:00,04/10/2016 16:35:00
YBK,YRT,947,04/10/2016 04:51:00,04/10/2016 09:39:00
YBK,YRT,965,04/10/2016 09:12:00,04/10/2016 23:36:00
YBK,YRT,299,04/10/2016 10:03:00,04/10/2016 12:27:00
YBK,YRT,169,04/10/2016 13:08:00,05/10/2016 03:32:00
YBK,YRT,230,04/10/2016 21:56:00,05/10/2016 14:44:00
YBK,YRT,166,04/10/2016 23:41:00,05/10/2016 09:17:00
YBK,YUT,785,02/10/2016 03:09:00,02/10/2016 19:57:00
YBK,YUT,955,02/10/2016 08:34:00,03/10/2016 01:22:00
YBK,YUT,100,02/10/2016 09:45:00,02/10/2016 21:45:00
YBK,YUT,891,03/10/2016 07:28:00,03/10/2016 19:28:00
YBK,YUT,288,03/10/2016 18:31:00,03/10/2016 23:19:00
YBK,YUT,494,04/10/2016 00:19:00,04/10/2016 09:55:00
YBK,YUT,944,04/10/2016 01:20:00,04/10/2016 13:20:00
YBK,YUT,959,04/10/2016 01:52:00,04/10/2016 16:16:00
YBK,YUT,119,04/10/2016 13:17:00,04/10/2016 20:29:00
YBK,YUT,421,04/10/2016 18:46:00,04/10/2016 21:10:00
YBK,YUT,202,04/10/2016 22:18:00,05/10/2016 07:54:00
YBL,YQQ,844,02/10/2016 14:53:00,03/10/2016 10:05:00
YBL,YQQ,800,02/10/2016 15:59:00,03/10/2016 01:35:00
YBL,YQQ,256,02/10/2016 16:36:00,03/10/2016 09:24:00
YBL,YQQ,615,02/10/2016 23:29:00,03/10/2016 01:53:00
YBL,YQQ,870,03/10/2016 00:58:00,03/10/2016 20:10:00
YBL,YQQ,128,03/10/2016 05:31:00,03/10/2016 07:55:00
YBL,YQQ,911,03/10/2016 06:01:00,03/10/2016 18:01:00
YBL,YQQ,501,03/10/2016 08:01:00,03/10/2016 15:13:00
YBL,YQQ,462,03/10/2016 09:14:00,03/10/2016 14:02:00
YBL,YQQ,455,03/10/2016 17:48:00,04/10/2016 08:12:00
YBL,YQQ,308,04/10/2016 07:27:00,04/10/2016 14:39:00
YBL,YQQ,596,04/10/2016 08:32:00,04/10/2016 18:08:00
YBL,YQQ,709,04/10/2016 09:53:00,04/10/2016 19:29:00
YBL,YQQ,877,04/10/2016 10:47:00,04/10/2016 22:47:00
YBL,YQQ,426,04/10/2016 13:16:00,05/10/2016 03:40:00
YBL,YQQ,662,04/10/2016 22:11:00,05/10/2016 07:47:00
YBL,YQQ,650,04/10/2016 23:02:00,05/10/2016 08:38:00
YBL,YQQ,363,04/10/2016 23:13:00,05/10/2016 06:25:00
YBL,YVR,778,01/10/2016 04:44:00,01/10/2016 21:32:00
YBL,YVR,926,01/10/2016 11:18:00,02/10/2016 06:30:00
YBL,YVR,372,01/10/2016 11:36:00,02/10/2016 04:24:00
YBL,YVR,355,01/10/2016 13:02:00,01/10/2016 20:14:00
YBL,YVR,263,01/10/2016 17:38:00,02/10/2016 00:50:00
YBL,YVR,930,01/10/2016 19:22:00,02/10/2016 09:46:00
YBL,YVR,974,02/10/2016 01:34:00,02/10/2016 13:34:00
YBL,YVR,404,02/10/2016 06:06:00,03/10/2016 01:18:00
YBL,YVR,689,02/10/2016 06:13:00,02/10/2016 13:25:00
YBL,YVR,485,02/10/2016 06:45:00,02/10/2016 23:33:00
YBL,YVR,931,02/10/2016 13:19:00,03/10/2016 06:07:00
YBL,YVR,996,02/10/2016 14:23:00,02/10/2016 23:59:00
YBL,YVR,385,02/10/2016 14:41:00,02/10/2016 21:53:00
YBL,YVR,125,02/10/2016 15:14:00,03/10/2016 00:50:00
YBL,YVR,540,02/10/2016 22:19:00,03/10/2016 05:31:00
YBL,YVR,109,03/10/2016 10:15:00,03/10/2016 22:15:00
YBL,YVR,445,03/10/2016 17:53:00,04/10/2016 08:17:00
YBL,YVR,122,03/10/2016 20:37:00,04/10/2016 15:49:00
YBL,YVR,151,03/10/2016 23:37:00,04/10/2016 14:01:00
YBL,YVR,605,04/10/2016 07:17:00,05/10/2016 00:05:00
YBL,YVR,533,04/10/2016 20:17:00,05/10/2016 13:05:00
YBL,YVR,754,04/10/2016 22:30:00,05/10/2016 17:42:00
YBL,ZEL,506,01/10/2016 12:14:00,01/10/2016 14:38:00
YBL,ZEL,404,01/10/2016 21:36:00,02/10/2016 04:48:00
YBL,ZEL,381,02/10/2016 00:18:00,02/10/2016 17:06:00
YBL,ZEL,287,02/10/2016 05:11:00,02/10/2016 09:59:00
YBL,ZEL,788,03/10/2016 00:42:00,03/10/2016 17:30:00
YBL,ZEL,259,03/10/2016 14:30:00,04/10/2016 02:30:00
YBL,ZEL,300,03/10/2016 20:03:00,04/10/2016 03:15:00
YBL,ZEL,153,03/10/2016 20:50:00,04/10/2016 06:26:00
YBL,ZEL,491,04/10/2016 06:05:00,04/10/2016 08:29:00
YBL,ZEL,163,04/10/2016 12:00:00,05/10/2016 04:48:00
YBL,ZEL,246,04/10/2016 23:33:00,05/10/2016 16:21:00
YBR,YYC,661,01/10/2016 01:31:00,01/10/2016 03:55:00
YBR,YYC,495,01/10/2016 06:36:00,01/10/2016 16:12:00
YBR,YYC,123,01/10/2016 12:01:00,02/10/2016 07:13:00
YBR,YYC,306,01/10/2016 15:23:00,01/10/2016 22:35:00
YBR,YYC,191,01/10/2016 16:05:00,01/10/2016 18:29:00
YBR,YYC,925,02/10/2016 14:57:00,03/10/2016 07:45:00
YBR,YYC,644,02/10/2016 20:35:00,03/10/2016 03:47:00
YBR,YYC,417,02/10/2016 21:06:00,03/10/2016 04:18:00
YBR,YYC,790,03/10/2016 21:20:00,04/10/2016 06:56:00
YBR,YYC,468,04/10/2016 02:55:00,04/10/2016 10:07:00
YBR,YYC,584,04/10/2016 17:28:00,05/10/2016 00:40:00
YCB,YCO,498,01/10/2016 02:37:00,01/10/2016 05:01:00
YCB,YCO,545,01/10/2016 14:19:00,02/10/2016 07:07:00
YCB,YCO,107,01/10/2016 19:50:00,02/10/2016 00:38:00
YCB,YCO,236,02/10/2016 00:03:00,02/10/2016 16:51:00
YCB,YCO,350,02/10/2016 19:40:00,02/10/2016 22:04:00
YCB,YCO,616,02/10/2016 20:17:00,02/10/2016 22:41:00
YCB,YCO,780,02/10/2016 21:47:00,03/10/2016 09:47:00
YCB,YCO,829,02/10/2016 22:32:00,03/10/2016 08:08:00
YCB,YCO,234,03/10/2016 01:41:00,03/10/2016 18:29:00
YCB,YCO,791,03/10/2016 03:07:00,03/10/2016 05:31:00
YCB,YCO,557,03/10/2016 05:53:00,03/10/2016 15:29:00
YCB,YCO,658,03/10/2016 15:49:00,04/10/2016 01:25:00
YCB,YCO,296,03/10/2016 16:47:00,03/10/2016 19:11:00
YCB,YCO,412,03/10/2016 19:45:00,04/10/2016 02:57:00
YCB,YCO,109,03/10/2016 20:30:00,04/10/2016 03:42:00
YCB,YCO,712,04/10/2016 01:57:00,04/10/2016 16:21:00
YCB,YCO,880,04/10/2016 02:56:00,04/10/2016 07:44:00
YCB,YCO,397,04/10/2016 04:35:00,04/10/2016 18:59:00
YCB,YCO,928,04/10/2016 09:13:00,04/10/2016 18:49:00
YCB,YCO,533,04/10/2016 11:55:00,04/10/2016 21:31:00
YCB,YCO,188,04/10/2016 20:05:00,05/10/2016 15:17:00
YCB,YCO,707,04/10/2016 22:48:00,05/10/2016 03:36:00
YCB,YHK,417,01/10/2016 05:36:00,01/10/2016 12:48:00
YCB,YHK,915,02/10/2016 03:54:00,02/10/2016 15:54:00
YCB,YHK,586,02/10/2016 05:03:00,02/10/2016 21:51:00
YCB,YHK,594,02/10/2016 09:00:00,02/10/2016 11:24:00
YCB,YHK,422,03/10/2016 09:59:00,03/10/2016 14:47:00
YCB,YHK,691,03/10/2016 15:13:00,04/10/2016 00:49:00
YCB,YHK,917,03/10/2016 18:02:00,04/10/2016 03:38:00
YCB,YHK,107,04/10/2016 05:22:00,04/10/2016 12:34:00
YCB,YHK,713,04/10/2016 13:18:00,05/10/2016 08:30:00
YCB,YHK,812,04/10/2016 13:26:00,05/10/2016 08:38:00
YCB,YHK,135,04/10/2016 19:20:00,05/10/2016 02:32:00
YCB,YYH,911,01/10/2016 16:59:00,02/10/2016 04:59:00
YCB,YYH,681,01/10/2016 18:15:00,02/10/2016 01:27:00
YCB,YYH,117,01/10/2016 19:34:00,02/10/2016 02:46:00
YCB,YYH,900,01/10/2016 20:30:00,02/10/2016 06:06:00
YCB,YYH,564,02/10/2016 05:22:00,02/10/2016 22:10:00
YCB,YYH,435,02/10/2016 07:59:00,02/10/2016 19:59:00
YCB,YYH,754,02/10/2016 11:58:00,02/10/2016 23:58:00
YCB,YYH,119,02/10/2016 12:50:00,03/10/2016 03:14:00
YCB,YYH,612,03/10/2016 11:49:00,03/10/2016 21:25:00
YCB,YYH,736,04/10/2016 08:41:00,04/10/2016 20:41:00
YCB,YYH,548,04/10/2016 12:54:00,05/10/2016 03:18:00
YCB,YZF,307,01/10/2016 06:56:00,01/10/2016 21:20:00
YCB,YZF,355,01/10/2016 07:00:00,01/10/2016 21:24:00
YCB,YZF,948,01/10/2016 16:46:00,02/10/2016 11:58:00
YCB,YZF,447,01/10/2016 22:09:00,02/10/2016 10:09:00
YCB,YZF,270,02/10/2016 00:25:00,02/10/2016 17:13:00
YCB,YZF,287,02/10/2016 06:50:00,02/10/2016 14:02:00
YCB,YZF,395,02/10/2016 08:59:00,02/10/2016 13:47:00
YCB,YZF,439,02/10/2016 10:16:00,02/10/2016 15:04:00
YCB,YZF,712,02/10/2016 21:02:00,03/10/2016 01:50:00
YCB,YZF,338,02/10/2016 23:44:00,03/10/2016 16:32:00
YCB,YZF,627,03/10/2016 07:02:00,03/10/2016 09:26:00
YCB,YZF,344,03/10/2016 10:31:00,04/10/2016 03:19:00
YCB,YZF,282,03/10/2016 21:55:00,04/10/2016 09:55:00
YCB,YZF,441,04/10/2016 01:06:00,04/10/2016 03:30:00
YCB,YZF,479,04/10/2016 04:03:00,04/10/2016 13:39:00
YCB,YZF,346,04/10/2016 05:39:00,04/10/2016 15:15:00
YCB,YZF,359,04/10/2016 06:12:00,04/10/2016 15:48:00
YCB,YZF,724,04/10/2016 08:14:00,05/10/2016 03:26:00
YCB,YZF,1000,04/10/2016 17:16:00,05/10/2016 12:28:00
YCB,YZF,239,04/10/2016 17:43:00,05/10/2016 12:55:00
YCB,YZF,602,04/10/2016 19:33:00,05/10/2016 07:33:00
YCB,YZF,863,04/10/2016 21:27:00,04/10/2016 23:51:00
YCD,YVR,151,01/10/2016 01:01:00,01/10/2016 10:37:00
YCD,YVR,355,01/10/2016 12:36:00,02/10/2016 03:00:00
YCD,YVR,731,02/10/2016 04:40:00,02/10/2016 11:52:00
YCD,YVR,263,02/10/2016 04:41:00,02/10/2016 09:29:00
YCD,YVR,702,02/10/2016 06:32:00,02/10/2016 23:20:00
YCD,YVR,793,02/10/2016 11:54:00,02/10/2016 19:06:00
YCD,YVR,370,02/10/2016 22:44:00,03/10/2016 10:44:00
YCD,YVR,488,03/10/2016 12:23:00,04/10/2016 05:11:00
YCD,YVR,543,03/10/2016 13:41:00,04/10/2016 01:41:00
YCD,YVR,121,03/10/2016 18:08:00,04/10/2016 03:44:00
YCD,YVR,947,04/10/2016 03:26:00,04/10/2016 05:50:00
YCD,YYC,603,01/10/2016 01:51:00,01/10/2016 18:39:00
YCD,YYC,505,01/10/2016 10:42:00,01/10/2016 20:18:00
YCD,YYC,469,01/10/2016 23:26:00,02/10/2016 09:02:00
YCD,YYC,203,02/10/2016 05:34:00,02/10/2016 12:46:00
